id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q333916,"Alfred Robens, Baron Robens of Woldingham",1955-12-14,1956-11-06,,Q325403,,
Q325403,Aneurin Bevan,1956-11-06,1959-10-11,Q333916,Q332360,,
Q332360,Denis Healey,1959-10-11,1961-11-02,Q325403,Q128956,,
Q128956,Harold Wilson,1961-11-02,1963-02-14,Q332360,Q333745,,
Q333745,Patrick Gordon Walker,1963-02-14,1964-10-15,Q128956,Q182035,,
Q182035,Rab Butler,1964-10-15,1965-02-16,Q333745,Q333275,,
Q333275,Reginald Maudling,1965-02-16,1965-11-11,Q182035,Q336050,,
Q336050,Christopher Soames,1965-11-11,1966-04-13,Q333275,Q128976,,
Q128976,Alec Douglas-Home,1966-04-13,1970-06-18,Q336050,Q332360,,
Q332360,Denis Healey,1970-06-20,1972-04-19,Q128976,Q9576,,
Q9576,James Callaghan,1972-04-19,1974-03-04,Q332360,Q5534874,,
Q5534874,Geoffrey Rippon,1974-03-04,1975-02-11,Q9576,Q333275,,
Q333275,Reginald Maudling,1975-02-11,1976-04-11,Q5534874,Q6228742,,
Q6228742,John Davies (British businessman),1976-04-11,1978-11-06,Q333275,Q332759,,
Q332759,"Francis Pym, Baron Pym",1978-11-06,1979-05-04,Q6228742,Q333085,,
Q333085,David Owen,1979-05-04,1979-07-14,Q332759,Q7176922,,
Q7176922,Peter Shore,1979-07-14,1980-12-08,Q333085,Q332360,,
Q332360,Denis Healey,1980-12-08,1987-06-13,Q7176922,Q750345,,
Q750345,Gerald Kaufman,1987-06-13,1992-07-24,Q332360,Q336214,,
Q336214,"Jack Cunningham, Baron Cunningham of Felling",1992-07-24,1994-10-20,Q750345,Q311214,,
Q311214,Robin Cook,1994-10-20,1997-05-02,Q336214,Q9559,,
Q9559,John Major,1997-05-07,1997-06-11,Q311214,Q325381,,
Q325381,Michael Howard,1997-06-11,1999-06-15,Q9559,Q333007,,
Q333007,John Maples,1999-06-15,2000-02-02,Q325381,Q333986,,
Q333986,Francis Maude,2000-02-02,2001-09-18,Q333007,Q332962,,
Q332962,Michael Ancram,2001-09-18,2005-05-10,Q333986,Q332374,,
Q332374,Liam Fox,2005-05-10,2005-12-06,Q332962,Q58282,,
Q58282,William Hague,2005-12-06,2010-05-11,Q332374,Q272670,,
Q272670,David Miliband,2010-05-11,2010-10-08,Q58282,Q291057,,
Q291057,Yvette Cooper,2010-10-08,2011-01-20,Q272670,Q259106,,
Q259106,Douglas Alexander,2011-01-20,2015-05-07,Q291057,Q262742,,
Q262742,Hilary Benn,2015-05-11,2016-06-26,Q259106,Q272408,,
Q272408,Emily Thornberry,2016-06-27,2020-04-05,Q262742,Q578037,,
Q578037,Lisa Nandy,2020-04-05,,Q272408,,,
